time,seconds_elapsed,bpm,cybersickness
1764419327939386368,6.56155252456665,87.0,0
1764419332939386368,11.56155252456665,82.0,0
1764419337939386368,16.56155252456665,81.0,0
1764419340939386368,19.56155252456665,83.0,0
1764419345939386368,24.56155252456665,82.0,0
1764419348939386368,27.56155252456665,81.0,0
1764419353939386368,32.56155252456665,79.0,0
1764419362939386368,41.56155252456665,72.0,0
1764419366939386368,45.56155252456665,72.0,0
1764419368939386368,47.56155252456665,73.0,0
1764419373939386368,52.56155252456665,76.0,0
1764419381939386368,60.56155252456665,78.0,0
1764419386939386368,65.56155252456665,77.00000000000001,0
1764419392939386368,71.56155252456665,77.00000000000001,0
1764419393939386368,72.56155252456665,78.0,0
1764419401939386368,80.56155252456665,75.0,0
1764419403939386368,82.56155252456665,74.0,0
1764419411939386368,90.56155252456665,73.0,0
1764419417939386368,96.56155252456665,78.0,0
1764419420939386368,99.56155252456665,78.0,0
1764419423939386368,102.56155252456665,78.0,0
1764419430939386368,109.56155252456665,80.0,0
1764419437939386368,116.56155252456665,77.00000000000001,0
1764419442939386368,121.56155252456665,77.00000000000001,0
1764419443939386368,122.56155252456665,77.00000000000001,0
1764419452939386368,131.56155252456665,81.0,0
1764419454939386368,133.56155252456665,81.0,0
1764419458939386368,137.56155252456665,79.0,0
1764419464939386368,143.56155252456665,80.0,0
1764419469939386368,148.56155252456665,79.0,0
1764419477939386368,156.56155252456665,81.0,0
1764419478939386368,157.56155252456665,82.0,0
1764419487939386368,166.56155252456665,92.00000000000001,0
1764419492939386368,171.56155252456665,88.0,0
1764419493939386368,172.56155252456665,87.0,0
1764419498939386368,177.56155252456665,86.0,0
1764419506939386368,185.56155252456665,84.0,0
1764419508939386368,187.56155252456665,85.0,0
1764419516939386368,195.56155252456665,83.0,0
1764419520939386368,199.56155252456665,85.0,1
1764419527939386368,206.56155252456665,83.0,1
1764419532939386368,211.56155252456665,81.0,1
1764419535939386368,214.56155252456665,80.0,1
1764419542939386368,221.56155252456665,85.0,1
1764419545939386368,224.56155252456665,86.0,1
1764419552939386368,231.56155252456665,86.0,0
1764419554939386368,233.56155252456665,87.0,0
1764419558939386368,237.56155252456665,87.0,0
1764419566939386368,245.56155252456665,90.0,0
1764419571939386368,250.56155252456665,88.0,0
1764419574939386368,253.56155252456665,86.0,0
1764419582939386368,261.56155252456665,82.0,0
1764419586939386368,265.56155252456665,81.0,0
1764419589939386368,268.56155252456665,80.0,0
1764419596939386368,275.56155252456665,83.0,0
1764419602939386368,281.56155252456665,88.0,0
1764419607939386368,286.56155252456665,87.0,0
1764419609939386368,288.56155252456665,86.0,0
1764419617939386368,296.56155252456665,84.0,0
1764419618939386368,297.56155252456665,85.0,0
