time,seconds_elapsed,bpm,cybersickness
1764416392279395072,6.792236089706421,98.0,0
1764416397279395072,11.792236089706421,95.0,0
1764416400279395072,14.792236089706421,95.0,0
1764416403279395072,17.79223608970642,95.0,0
1764416412279395072,26.79223608970642,89.0,0
1764416416279395072,30.79223608970642,89.0,0
1764416420279395072,34.79223608970642,89.0,0
1764416426279395072,40.79223608970642,87.0,0
1764416428279395072,42.79223608970642,87.0,0
1764416437279395072,51.79223608970642,92.00000000000001,0
1764416441279395072,55.79223608970642,91.0,1
1764416447279395072,61.79223608970642,87.0,1
1764416452279395072,66.79223608970642,89.0,1
1764416457279395072,71.79223608970642,84.0,0
1764416460279395072,74.79223608970642,84.0,0
1764416464279395072,78.79223608970642,84.0,0
1764416472279395072,86.79223608970642,89.0,1
1764416477279395072,91.79223608970642,86.0,1
1764416478279395072,92.79223608970642,86.0,1
1764416484279395072,98.79223608970642,86.0,1
1764416489279395072,103.79223608970642,84.0,1
1764416496279395072,110.79223608970642,87.0,1
1764416498279395072,112.79223608970642,86.0,1
1764416503279395072,117.79223608970642,87.0,0
1764416511279395072,125.79223608970642,88.0,0
1764416517288965376,131.80180644989014,90.0,1
1764416518288965376,132.80180644989014,90.0,1
1764416527288965376,141.80180644989014,90.0,0
1764416528288965376,142.80180644989014,90.0,0
