time,seconds_elapsed,bpm,cybersickness
1764413337274878464,6.5665504932403564,102.0,0
1764413341274878464,10.566550493240356,101.0,0
1764413347274878464,16.566550493240356,106.0,0
1764413348274878464,17.566550493240356,106.0,0
1764413357274878464,26.566550493240356,95.0,0
1764413359274878464,28.566550493240356,95.0,0
1764413367274878464,36.566550493240356,90.0,0
1764413371274878464,40.566550493240356,91.0,0
1764413373274878464,42.566550493240356,91.0,0
1764413382274878464,51.566550493240356,90.0,0
1764413384274878464,53.566550493240356,91.0,0
1764413392274878464,61.566550493240356,90.0,1
1764413395274878464,64.56655049324036,90.0,1
1764413401274878464,70.56655049324036,90.0,1
1764413404274878464,73.56655049324036,89.0,1
1764413411274878464,80.56655049324036,88.0,1
1764413413274878464,82.56655049324036,88.0,1
1764413420274878464,89.56655049324036,89.0,0
1764413426274878464,95.56655049324036,90.0,0
1764413430274878464,99.56655049324036,89.0,0
1764413435274878464,104.56655049324036,89.0,0
1764413440274878464,109.56655049324036,86.0,0
1764413445274878464,114.56655049324036,92.00000000000001,1
1764413451274878464,120.56655049324036,89.0,1
1764413456274878464,125.56655049324036,91.0,1
1764413462274878464,131.56655049324036,87.0,0
1764413464274878464,133.56655049324036,87.0,0
1764413469274878464,138.56655049324036,88.0,0
1764413474274878464,143.56655049324036,91.0,1
1764413482274878464,151.56655049324036,90.0,1
1764413484274878464,153.56655049324036,89.0,0
1764413489274878464,158.56655049324036,93.0,0
1764413494274878464,163.56655049324036,93.0,0
1764413502274878464,171.56655049324036,92.00000000000001,0
1764413503274878464,172.56655049324036,91.0,0
1764413509274878464,178.56655049324036,94.0,0
1764413517274878464,186.56655049324036,91.0,0
1764413522274878464,191.56655049324036,92.00000000000001,1
1764413523274878464,192.56655049324036,91.0,1
1764413532274878464,201.56655049324036,92.0000000000000, 1
1764413533274878464,202.56655049324036,93.0,1
1764413542274878464,211.56655049324036,90.0,1
1764413543274878464,212.56655049324036,91.0,1
1764413548274878464,217.56655049324036,94.0,1
1764413557274878464,226.56655049324036,90.0,0
1764413559274878464,228.56655049324036,91.0,0
1764413563274878464,232.56655049324036,92.000000000001,0
1764413572274878464,241.56655049324036,100.0,0
1764413573274878464,242.56655049324036,99.0,0
1764413579274878464,248.56655049324036,97.0,0
1764413586274878464,255.56655049324036,93.0,0
1764413592274878464,261.56655049324036,91.0,0
1764413593274878464,262.56655049324036,90.0,0
1764413600274878464,269.56655049324036,95.0,1
1764413607274878464,276.56655049324036,90.0,1
1764413608274878464,277.56655049324036,91.0,0
1764413617274878464,286.56655049324036,90.0,0
1764413619274878464,288.56655049324036,91.0,0
1764413623274878464,292.56655049324036,92.00000000000001,0
1764413630274878464,299.56655049324036,90.0,0
1764413635649878528,304.94155049324036,94.0,0
