time,seconds_elapsed,bpm,cybersickness
1764415655597815552,6.823641538619995,88.0,0
1764415660597815552,11.823641538619995,87.0,0
1764415665597815552,16.823641538619995,87.0,0
1764415670597815552,21.823641538619995,88.0,1
1764415673597815552,24.823641538619995,86.0,1
1764415677597815552,28.823641538619995,87.0,1
1764415681597815552,32.823641538619995,86.0,1
1764415689597815552,40.823641538619995,89.0,0
1764415692597815552,43.823641538619995,89.0,0
1764415696597815552,47.823641538619995,88.0,0
1764415705597815552,56.823641538619995,82.0,0
1764415710597815552,61.823641538619995,84.0,0
1764415715597815552,66.82364153862,83.0,0
1764415718597815552,69.82364153862,84.0,0
1764415725097815552,76.32364153862,83.0,1
1764415731097815552,82.32364153862,83.0,1
1764415732097815552,83.32364153862,83.0,1
1764415739097815552,90.32364153862,87.0,0
1764415742972815616,94.19864153862,87.0,0
1764415747972815616,99.19864153862,85.0,0
1764415756972815616,108.19864153862,90.0,0
1764415761972815616,113.19864153862,88.0,0
1764415763972815616,115.19864153862,86.0,0
1764415771972815616,123.19864153862,80.0,0
1764415775972815616,127.19864153862,82.0,0
1764415777972815616,129.19864153862,82.0,0
1764415783972815616,135.19864153862,83.0,0
1764415787972815616,139.19864153862,82.0,0
1764415796972815616,148.19864153862,78.0,0
1764415798972815616,150.19864153862,80.0,0
1764415803972815616,155.19864153862,87.0,0
